symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
BPHL,1.189,0.009994,972.01,tumor,breast_her2
MCRS1,-0.769,0.031764,3936.52,tumor,breast_her2
RNF8,-0.069,0.017045,1410.1,tumor,breast_her2
TF,0.175,0.038576,966.38,tumor,breast_her2
CUL4A,-0.29,0.090006,3822.23,tumor,breast_her2
STAG2,0.44,0.09475,1224.4,tumor,breast_her2
POLR2E,0.816,0.06455,1156.76,tumor,breast_her2
NOX4,-0.492,0.084629,2302.16,tumor,breast_her2
RMI2,0.49,0.054164,132.11,tumor,breast_her2
CDK12,0.172,0.034521,690.24,tumor,breast_her2
PIK3CD,-0.338,0.051858,1015.42,tumor,breast_her2
DDX41,-0.744,0.065924,1182.19,tumor,breast_her2
MYH14,-0.13,0.019943,792.02,tumor,breast_her2
ISY1,0.154,0.040547,1244.1,tumor,breast_her2
MLST8,0.336,0.041975,2942.67,tumor,breast_her2
EPHA10,-0.472,0.065845,947.57,tumor,breast_her2
RAD23B,-0.556,0.056926,3586.98,tumor,breast_her2
MRE11,0.393,0.03295,2227.96,tumor,breast_her2
SPTBN5,0.825,0.011952,2742.86,tumor,breast_her2
MECP2,1.478,0.001567,2566.71,tumor,breast_her2
GGT1,-1.044,0.005697,3995.14,tumor,breast_her2
FGF3,0.367,0.029349,835.26,tumor,breast_her2
SPRED2,0.156,0.073561,2661.81,tumor,breast_her2
H2BC21,0.925,0.092243,2775.97,tumor,breast_her2
POLR3A,0.475,0.034855,3580.01,tumor,breast_her2
TDG,1.565,0.000696,4144.19,tumor,breast_her2
TP53BP1,-0.886,0.095659,4516.68,tumor,breast_her2
ALK,0.681,0.012923,3775.38,tumor,breast_her2
SMC1A,-0.87,0.048417,580.54,tumor,breast_her2
FGF5,0.188,0.067265,2824.46,tumor,breast_her2
POLR2F,0.207,0.048177,3624.54,tumor,breast_her2
GCC2,-0.759,0.035363,3033.16,tumor,breast_her2
CCNT1,-0.175,0.048183,1916.49,tumor,breast_her2
IGFALS,0.181,0.038912,3759.92,tumor,breast_her2
NRG2,0.061,0.076605,1310.04,tumor,breast_her2
TJP2,0.279,0.038953,337.76,tumor,breast_her2
CUL1,0.857,0.035337,1581.41,tumor,breast_her2
PSMB1,-0.826,0.036471,2971.29,tumor,breast_her2
CDK2,0.08,0.025158,3939.48,tumor,breast_her2
BRCC3,-0.388,0.013565,2166.97,tumor,breast_her2
SFN,-0.004,0.016264,1194.56,tumor,breast_her2
SHH,-0.73,0.02665,3217.74,tumor,breast_her2
TFDP2,1.156,0.007662,3854.82,tumor,breast_her2
BAZ1B,0.066,0.062365,3854.11,tumor,breast_her2
TDP1,0.787,0.07701,3134.98,tumor,breast_her2
TERF1,-0.519,0.05294,1426.3,tumor,breast_her2
REV1,2.0,0.000561,1641.78,tumor,breast_her2
ZC3HAV1,0.249,0.089046,1287.04,tumor,breast_her2
CDC7,0.208,0.097249,3347.97,tumor,breast_her2
NTRK2,-1.737,0.000118,1125.33,tumor,breast_her2
MYH11,0.355,0.097037,2760.67,tumor,breast_her2
PSIP1,-0.791,0.097353,1094.43,tumor,breast_her2
PRKAR1B,-0.022,0.075455,577.2,tumor,breast_her2
POLL,0.428,0.028586,3402.54,tumor,breast_her2
RPS27A,-0.486,0.073853,1004.8,tumor,breast_her2
IRS1,0.176,0.017269,2505.72,tumor,breast_her2
PSMC2,-0.045,0.019644,4985.65,tumor,breast_her2
IL10RA,0.452,0.090237,3174.92,tumor,breast_her2
BIRC2,-1.565,0.000615,3220.28,tumor,breast_her2
SERPINA10,-0.613,0.060944,2818.11,tumor,breast_her2
FOS,-1.053,0.001971,2139.88,tumor,breast_her2
CBX4,-0.141,0.093572,2650.29,tumor,breast_her2
FLT3LG,0.38,0.034366,1873.08,tumor,breast_her2
FZR1,0.388,0.03319,1072.64,tumor,breast_her2
PSMD13,-0.571,0.016578,2974.84,tumor,breast_her2
ACTB,-0.288,0.020047,2835.31,tumor,breast_her2
PCGF2,0.176,0.014874,4371.04,tumor,breast_her2
TNIP1,0.244,0.068925,4503.3,tumor,breast_her2
EML4,0.64,0.073856,671.89,tumor,breast_her2
POLR3B,-0.589,0.092874,140.86,tumor,breast_her2
LIG3,1.783,0.000251,2584.72,tumor,breast_her2
APIP,1.215,0.004364,1596.01,tumor,breast_her2
POLM,0.987,0.027202,729.9,tumor,breast_her2
UBA52,-0.966,0.09854,111.63,tumor,breast_her2
POLD4,0.158,0.013217,2923.75,tumor,breast_her2
POLR3D,0.997,0.072913,648.92,tumor,breast_her2
AMY2A,0.384,0.020472,411.84,tumor,breast_her2
HCN4,1.11,0.007762,262.26,tumor,breast_her2
SULT1C4,1.64,0.000584,633.89,tumor,breast_her2
MTRF1L,1.209,0.006169,4987.8,tumor,breast_her2
ANPEP,1.659,0.00051,4872.16,tumor,breast_her2
PMCH,0.801,0.012594,2884.14,tumor,breast_her2
LTB,0.397,0.082431,3934.59,tumor,breast_her2
SLC9A2,1.417,0.007531,2391.65,tumor,breast_her2
CPS1,0.748,0.047423,1658.93,tumor,breast_her2
DAGLA,1.198,0.007015,3275.75,tumor,breast_her2
POLR3G,0.413,0.017766,4257.34,tumor,breast_her2
RBMS3,0.397,0.023774,3026.54,tumor,breast_her2
AREG,1.598,2.4e-05,942.31,tumor,breast_her2
DPEP2,1.626,0.000244,3455.25,tumor,breast_her2
CYP11B1,1.589,0.000265,1147.68,tumor,breast_her2
MAFB,0.803,0.07938,2482.62,tumor,breast_her2
CCR4,1.559,0.000787,4208.33,tumor,breast_her2
EPHA7,1.107,0.004298,1787.53,tumor,breast_her2
ERCC6L2,1.732,0.000427,1203.53,tumor,breast_her2
TYRO3,1.698,7.1e-05,380.76,tumor,breast_her2
NR1H2,1.102,0.003198,2091.25,tumor,breast_her2
SLC36A2,1.023,0.003894,141.63,tumor,breast_her2
FAM201A,1.565,0.000971,3783.88,tumor,breast_her2
MLXIPL,1.777,0.000664,3896.31,tumor,breast_her2
ERO1A,1.41,0.006901,1314.45,tumor,breast_her2
STIM1,1.727,0.000996,1507.93,tumor,breast_her2
STAT5B,0.434,0.086097,3441.14,tumor,breast_her2
GHRL,0.913,0.037934,1434.59,tumor,breast_her2
PARD3B,1.015,0.0032,464.5,tumor,breast_her2
GSTA3,0.887,0.090084,2706.47,tumor,breast_her2
NTRK3,1.204,0.007913,4942.58,tumor,breast_her2
HES6,0.429,0.036873,1818.45,tumor,breast_her2
ADGRV1,0.372,0.025159,183.27,tumor,breast_her2
NR1I3,1.035,0.002659,2834.33,tumor,breast_her2
LPAR5,1.771,0.000185,2187.41,tumor,breast_her2
GLRB,1.797,0.000734,489.26,tumor,breast_her2
NDUFA11,1.132,0.006687,3606.2,tumor,breast_her2
TNFSF10,1.538,5.9e-05,1379.96,tumor,breast_her2
PTK6,1.753,2.8e-05,2491.18,tumor,breast_her2
S1PR1,1.494,0.008662,1950.9,tumor,breast_her2
LTB4R2,1.102,0.007995,3156.16,tumor,breast_her2
GGCX,1.072,0.006713,823.94,tumor,breast_her2
MC2R,0.28,0.055805,2228.55,tumor,breast_her2
TRPC6,1.771,0.000799,4261.96,tumor,breast_her2
THRB,0.546,0.060751,4369.09,tumor,breast_her2
IRF3,1.244,0.00956,2688.58,tumor,breast_her2
CCKBR,1.542,0.000544,4810.35,tumor,breast_her2
CYP2A6,0.365,0.089939,1661.66,tumor,breast_her2
TPSAB1,0.675,0.015087,4947.76,tumor,breast_her2
XBP1,1.611,0.000184,2165.85,tumor,breast_her2
KAT2B,1.764,0.000582,790.62,tumor,breast_her2
MUTYH,0.882,0.085383,3249.3,tumor,breast_her2
GCLM,1.192,0.009954,140.58,tumor,breast_her2
PSMD2,1.659,0.000463,3722.52,tumor,breast_her2
CHRFAM7A,0.46,0.047969,1795.12,tumor,breast_her2
CTDSP1,1.778,0.000939,244.72,tumor,breast_her2
KCNAB1,0.774,0.030248,4244.37,tumor,breast_her2
CSF2RB,0.341,0.069244,2502.81,tumor,breast_her2
ALAD,1.367,0.007932,3458.81,tumor,breast_her2
PRKCZ,1.606,0.000882,3204.49,tumor,breast_her2
DCBLD1,1.151,0.009208,1733.84,tumor,breast_her2
PIK3CG,0.578,0.049488,4384.81,tumor,breast_her2
AMY2B,1.446,0.006502,3619.22,tumor,breast_her2
RPS6KA4,0.486,0.014612,1886.89,tumor,breast_her2
AIFM1,0.82,0.076181,1512.14,tumor,breast_her2
AARS2,0.873,0.041035,707.15,tumor,breast_her2
THNSL1,1.233,0.004942,4649.99,tumor,breast_her2
HSD17B8,1.145,0.0018,4677.73,tumor,breast_her2
SNX9,1.26,0.008535,1963.08,tumor,breast_her2
CYB5R1,1.659,0.000455,150.1,tumor,breast_her2
MRGPRX1,0.504,0.043097,2951.57,tumor,breast_her2
RPL19,1.538,0.00037,2342.93,tumor,breast_her2
SLC2A3,0.965,0.066097,2964.16,tumor,breast_her2
MMP12,0.276,0.021344,3785.6,tumor,breast_her2
STX8,0.37,0.041438,1316.12,tumor,breast_her2
FKBP5,1.746,0.000594,3514.1,tumor,breast_her2
POLE4,1.695,0.000171,1899.94,tumor,breast_her2
RHOA,0.521,0.081257,446.42,tumor,breast_her2
PTGER1,1.63,0.000989,707.71,tumor,breast_her2
IGHG2,1.637,0.000631,3690.29,tumor,breast_her2
ABHD6,1.756,0.000889,394.41,tumor,breast_her2
ARRB2,1.506,3.5e-05,2059.25,tumor,breast_her2
CPT1A,0.794,0.019253,1746.97,tumor,breast_her2
CKB,1.085,0.003839,109.91,tumor,breast_her2
DDRGK1,1.696,0.000971,1027.47,tumor,breast_her2
ARID5B,1.471,0.003254,1190.61,tumor,breast_her2
NDUFB3,0.507,0.048976,2191.87,tumor,breast_her2
BBOX1,1.75,0.000422,3236.99,tumor,breast_her2
KCNT2,0.452,0.033396,4285.34,tumor,breast_her2
MAD1L1,1.362,0.005974,3223.83,tumor,breast_her2
LRP1,0.996,0.015016,2633.91,tumor,breast_her2
ZACN,0.989,0.02608,4852.24,tumor,breast_her2
NTRK2,1.699,0.000719,2534.37,tumor,breast_her2
GNG3,1.448,0.008787,1976.83,tumor,breast_her2
PLK3,1.372,0.005283,3379.95,tumor,breast_her2
TMX2,1.28,0.001897,2007.44,tumor,breast_her2
HADHA,1.417,0.007313,2480.57,tumor,breast_her2
GIMAP6,1.743,0.000291,1782.29,tumor,breast_her2
PDK1,1.083,0.006253,1444.75,tumor,breast_her2
CRH,1.77,0.000227,2491.04,tumor,breast_her2
KCNF1,0.425,0.044129,630.77,tumor,breast_her2
HLA-G,1.489,0.008905,541.83,tumor,breast_her2
SLC15A4,1.545,0.000292,2263.43,tumor,breast_her2
SMYD2,1.603,0.000393,4866.37,tumor,breast_her2
PIN1,0.761,0.044442,1313.7,tumor,breast_her2
RPL13,0.933,0.054528,2276.85,tumor,breast_her2
F2,0.383,0.051063,539.24,tumor,breast_her2
GNMT,0.631,0.049822,2331.89,tumor,breast_her2
PICALM,0.419,0.064668,628.29,tumor,breast_her2
STK24,1.362,0.001654,1106.63,tumor,breast_her2
PTGER2,1.557,0.000815,2246.51,tumor,breast_her2
PDIA2,1.381,0.005273,1616.39,tumor,breast_her2
ATF7,1.086,0.003627,4492.44,tumor,breast_her2
CSNK1G2,1.1,0.001204,612.08,tumor,breast_her2
GAPDHP64,1.521,0.000749,4268.58,tumor,breast_her2
CD14,1.263,0.004568,1429.07,tumor,breast_her2
ATP1A1,1.71,0.000427,2527.55,tumor,breast_her2
COX7A1,0.361,0.099488,807.4,tumor,breast_her2
CES1,0.37,0.04596,471.01,tumor,breast_her2
GLRX,1.758,0.000532,2694.42,tumor,breast_her2
AGAP1,0.324,0.057936,1644.92,tumor,breast_her2
ITGB5,0.468,0.084632,1300.6,tumor,breast_her2
PROC,1.544,0.000487,1639.63,tumor,breast_her2
CHIA,0.703,0.017988,2479.96,tumor,breast_her2
NNMT,1.305,0.001989,4056.46,tumor,breast_her2
CALY,1.57,0.000221,1009.0,tumor,breast_her2
ORM2,1.034,0.002494,1238.81,tumor,breast_her2
B4GALT2,1.408,0.001584,481.57,tumor,breast_her2
ANKFN1,0.911,0.025541,112.27,tumor,breast_her2
ADH1B,1.628,0.000471,210.5,tumor,breast_her2
ZNF423,1.045,0.001374,2259.93,tumor,breast_her2
ADK,0.306,0.062166,4752.51,tumor,breast_her2
PSAT1,1.2,0.008378,4969.28,tumor,breast_her2
SLC52A2,1.607,0.00038,3249.33,tumor,breast_her2
MPZ,1.054,0.002965,4238.57,tumor,breast_her2
GSTM5,1.713,0.000927,3330.13,tumor,breast_her2
PLEKHH2,0.641,0.021009,2252.88,tumor,breast_her2
EHMT2,0.655,0.061106,3880.8,tumor,breast_her2
AKT3,1.43,0.003478,769.99,tumor,breast_her2
CHRNG,0.628,0.022929,106.78,tumor,breast_her2
GP1BB,1.63,0.000543,3421.33,tumor,breast_her2
GAPVD1,1.751,0.000919,3081.21,tumor,breast_her2
TUBA3C,0.313,0.080756,2775.8,tumor,breast_her2
FOXM1,1.293,0.005975,4395.99,tumor,breast_her2
SLC12A4,1.766,0.000795,4675.52,tumor,breast_her2
ULK3,1.593,0.000938,4623.94,tumor,breast_her2
RYR3,1.385,0.006316,3640.39,tumor,breast_her2
MAPK9,1.268,0.008862,2097.32,tumor,breast_her2
LIG3,1.253,0.003814,3463.52,tumor,breast_her2
XRCC5,1.136,0.009106,2455.52,tumor,breast_her2
LGR5,1.775,0.000763,1336.99,tumor,breast_her2
IHH,0.811,0.035977,3232.43,tumor,breast_her2
GPX2,0.312,0.023364,1044.08,tumor,breast_her2
KCNA5,1.655,0.000188,838.28,tumor,breast_her2
MAPK13,1.613,0.000117,1733.44,tumor,breast_her2
ARHGAP12,0.513,0.064383,1833.94,tumor,breast_her2
RGS19,1.351,0.009866,4063.27,tumor,breast_her2
CD40,0.99,0.048714,334.17,tumor,breast_her2
SLC3A1,1.416,0.004725,4909.81,tumor,breast_her2
S100A13,0.821,0.058096,3277.27,tumor,breast_her2
CHRNA9,0.918,0.095208,2212.0,tumor,breast_her2
GJB3,1.709,9.3e-05,4066.46,tumor,breast_her2
GCSH,0.891,0.026631,4173.83,tumor,breast_her2
CYP3A4,1.785,0.000494,3477.11,tumor,breast_her2
EPHA2,0.949,0.031382,4370.09,tumor,breast_her2
MAPK1,1.295,0.008201,1918.11,tumor,breast_her2
CD44,0.756,0.042191,4548.29,tumor,breast_her2
ARNT,1.584,0.000422,4064.33,tumor,breast_her2
MMP14,1.359,0.006413,2340.29,tumor,breast_her2
STX4,1.256,0.007802,3182.38,tumor,breast_her2
SUCLA2,1.668,0.000509,2984.12,tumor,breast_her2
GDA,1.375,0.005101,1104.15,tumor,breast_her2
BMP2,1.801,0.00059,3212.7,tumor,breast_her2
DDR2,0.276,0.013048,2348.39,tumor,breast_her2
GAPDH,0.533,0.074759,2483.85,tumor,breast_her2
NCR3,1.183,0.005732,4718.65,tumor,breast_her2
RAMP1,1.055,0.008398,2162.49,tumor,breast_her2
AMPD1,0.7,0.023216,2868.71,tumor,breast_her2
RAF1,0.996,0.041734,1357.71,tumor,breast_her2
SV2C,1.764,0.000634,4432.41,tumor,breast_her2
DSCAM,0.873,0.083847,4229.55,tumor,breast_her2
PFKFB3,1.576,0.000343,2862.87,tumor,breast_her2
ESR2,1.049,0.002121,2891.6,tumor,breast_her2
MTHFS,1.729,0.000137,499.7,tumor,breast_her2
NOS2,0.588,0.029978,1485.87,tumor,breast_her2
FDFT1,1.258,0.005643,3020.51,tumor,breast_her2
PYY,1.489,0.001044,506.66,tumor,breast_her2
KLRK1,1.568,0.000369,751.01,tumor,breast_her2
ELOVL4,0.622,0.040078,3769.85,tumor,breast_her2
GNAS,1.642,0.000491,128.51,tumor,breast_her2
STMN2,1.721,0.000147,2515.83,tumor,breast_her2
PRKACG,0.727,0.027977,2115.1,tumor,breast_her2
MTHFD2,0.451,0.033857,3338.32,tumor,breast_her2
ALK,1.501,0.000722,431.22,tumor,breast_her2
SUCNR1,0.915,0.014079,405.83,tumor,breast_her2
ARPC5,1.496,0.005339,4217.11,tumor,breast_her2
PPP1CA,1.153,0.009656,4550.66,tumor,breast_her2
ADORA1,1.101,0.009975,542.87,tumor,breast_her2
NEDD4L,1.607,3.7e-05,4494.51,tumor,breast_her2
ENG,0.662,0.09192,349.49,tumor,breast_her2
EPHA1,1.712,0.000186,347.36,tumor,breast_her2
GABRA5,1.585,2.5e-05,1133.76,tumor,breast_her2
CYP4F3,0.83,0.055862,276.14,tumor,breast_her2
FURIN,0.912,0.016053,3393.62,tumor,breast_her2
