symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
NKIRAS1,0.057,0.080501,2065.52,tumor,breast_tnbc
TMED7-TICAM2,-0.565,0.079319,3606.93,tumor,breast_tnbc
HDAC3,0.12,0.076551,1142.65,tumor,breast_tnbc
SPTBN5,-0.464,0.052658,184.33,tumor,breast_tnbc
CUL4B,2.0,0.000616,4130.83,tumor,breast_tnbc
C3,0.245,0.025946,3773.6,tumor,breast_tnbc
USP10,0.065,0.064719,2393.61,tumor,breast_tnbc
ORC2,0.28,0.060832,3447.18,tumor,breast_tnbc
TNFAIP3,0.027,0.025872,937.48,tumor,breast_tnbc
CACNA1C,0.251,0.084061,703.35,tumor,breast_tnbc
PRKAR2B,0.239,0.069415,4188.53,tumor,breast_tnbc
H1-2,0.108,0.093132,3910.81,tumor,breast_tnbc
RAF1,0.364,0.092134,4542.33,tumor,breast_tnbc
MECP2,-1.737,0.0007,2234.06,tumor,breast_tnbc
ZNF830,-0.088,0.01884,1043.28,tumor,breast_tnbc
UNG,-0.278,0.049175,4404.85,tumor,breast_tnbc
HSP90AA1,0.444,0.035425,1041.79,tumor,breast_tnbc
STAT5B,0.23,0.013146,4561.8,tumor,breast_tnbc
AKT2,0.391,0.028009,3708.7,tumor,breast_tnbc
PHF1,-0.478,0.047111,1962.44,tumor,breast_tnbc
TNC,-0.615,0.054698,2392.94,tumor,breast_tnbc
RAP1B,-0.306,0.012826,1719.59,tumor,breast_tnbc
TXN,1.324,0.004058,3947.64,tumor,breast_tnbc
GNG3,-0.368,0.039421,1434.39,tumor,breast_tnbc
TNRC6A,0.869,0.07525,4866.11,tumor,breast_tnbc
CNKSR2,-0.364,0.050365,2063.24,tumor,breast_tnbc
NUP188,-1.37,0.008726,817.38,tumor,breast_tnbc
COL4A2,-0.302,0.05836,3044.51,tumor,breast_tnbc
POLR2A,0.621,0.068802,4151.26,tumor,breast_tnbc
PPP2CB,-0.295,0.060703,1600.08,tumor,breast_tnbc
KPNA2,-0.55,0.052266,3036.0,tumor,breast_tnbc
H2AC8,-0.304,0.023234,2600.1,tumor,breast_tnbc
BIRC6,-0.421,0.090973,3567.7,tumor,breast_tnbc
PARG,0.96,0.063749,2634.11,tumor,breast_tnbc
SERPINA10,0.19,0.063708,1883.45,tumor,breast_tnbc
MGMT,-0.786,0.026835,1661.69,tumor,breast_tnbc
BAD,-0.304,0.070632,2429.12,tumor,breast_tnbc
AURKB,0.318,0.088647,1212.65,tumor,breast_tnbc
TET1,1.116,0.007799,1263.1,tumor,breast_tnbc
LEF1,0.009,0.088539,4486.14,tumor,breast_tnbc
BABAM2,-1.127,0.008803,1149.24,tumor,breast_tnbc
F2RL1,0.687,0.089262,3081.06,tumor,breast_tnbc
CLK1,1.052,0.004036,2748.29,tumor,breast_tnbc
GAPDHS,1.456,0.009707,536.48,tumor,breast_tnbc
MALT1,1.102,0.003113,3274.38,tumor,breast_tnbc
PTPRE,0.936,0.077392,440.94,tumor,breast_tnbc
GRIA2,0.958,0.017111,148.17,tumor,breast_tnbc
SLC12A2,1.356,0.008869,3713.4,tumor,breast_tnbc
FIP1L1,0.825,0.061921,1412.81,tumor,breast_tnbc
ARHGEF28,1.121,0.00695,2377.65,tumor,breast_tnbc
PLCB1,1.367,0.006596,1810.06,tumor,breast_tnbc
LPAR1,0.571,0.053439,412.09,tumor,breast_tnbc
INS,1.28,0.007686,1064.57,tumor,breast_tnbc
CDH4,0.977,0.050305,240.86,tumor,breast_tnbc
ADH4,0.949,0.047081,1210.78,tumor,breast_tnbc
RDH5,1.41,0.007253,4747.77,tumor,breast_tnbc
SCN5A,0.692,0.084801,2074.12,tumor,breast_tnbc
NNT,1.597,0.000117,2613.55,tumor,breast_tnbc
CACNA1F,1.073,0.009812,4962.12,tumor,breast_tnbc
SLC5A8,1.311,0.00421,1151.35,tumor,breast_tnbc
SIRT2,0.696,0.028448,1032.46,tumor,breast_tnbc
IFNGR2,1.644,0.000683,3156.34,tumor,breast_tnbc
TRPA1,1.676,0.000791,4336.85,tumor,breast_tnbc
SNORD68,1.206,0.003097,1297.29,tumor,breast_tnbc
KCTD16,1.749,0.000413,2554.96,tumor,breast_tnbc
TERT,1.732,0.00064,1752.9,tumor,breast_tnbc
PLG,1.03,0.009454,4540.57,tumor,breast_tnbc
ATP1A2,1.433,0.006719,834.28,tumor,breast_tnbc
FOSB,1.505,0.000576,3542.81,tumor,breast_tnbc
GLRX,0.949,0.03961,1831.52,tumor,breast_tnbc
STMN2,1.73,0.000818,3610.97,tumor,breast_tnbc
NCOA2,1.603,0.000487,518.87,tumor,breast_tnbc
CTNNB1,1.713,0.000394,741.04,tumor,breast_tnbc
TFF2,1.114,0.005212,4204.66,tumor,breast_tnbc
THBD,1.589,0.000644,1976.07,tumor,breast_tnbc
ATF1,0.915,0.092158,868.3,tumor,breast_tnbc
PARP2,1.78,0.000788,4736.73,tumor,breast_tnbc
IRS1,1.225,0.001142,2780.72,tumor,breast_tnbc
MT-CO2,0.685,0.097967,2358.6,tumor,breast_tnbc
SENP3,1.518,0.000431,4420.49,tumor,breast_tnbc
PRKAG2,1.166,0.00168,954.36,tumor,breast_tnbc
UMOD,1.652,0.000442,2918.86,tumor,breast_tnbc
KDM7A,0.6,0.01121,2097.49,tumor,breast_tnbc
APH1B,1.483,0.002477,4132.44,tumor,breast_tnbc
CYBB,0.448,0.077101,2751.25,tumor,breast_tnbc
CYP24A1,0.37,0.082464,4744.33,tumor,breast_tnbc
PRDX2,1.76,0.000168,4211.35,tumor,breast_tnbc
PTK2,1.689,0.000786,1100.42,tumor,breast_tnbc
CAMK2D,0.93,0.028306,4675.58,tumor,breast_tnbc
ATP2A2,1.167,0.00344,1200.52,tumor,breast_tnbc
CALY,1.729,6.7e-05,1077.36,tumor,breast_tnbc
PGLS,0.586,0.072836,3313.6,tumor,breast_tnbc
PFAS,1.749,0.000982,3876.22,tumor,breast_tnbc
IL5,1.247,0.003003,4746.5,tumor,breast_tnbc
QPRT,0.685,0.019502,899.31,tumor,breast_tnbc
ABCB6,1.372,0.007243,4878.09,tumor,breast_tnbc
KCNK1,0.898,0.062374,4291.82,tumor,breast_tnbc
ELP5,0.271,0.032486,3420.33,tumor,breast_tnbc
PRKCZ,1.491,0.008067,2127.22,tumor,breast_tnbc
APLF,0.724,0.07158,4775.8,tumor,breast_tnbc
ATP4B,0.437,0.093088,3753.7,tumor,breast_tnbc
CTDSP1,1.31,0.006744,328.9,tumor,breast_tnbc
LTA,1.396,0.002766,4526.23,tumor,breast_tnbc
CALCRL,1.26,0.00136,751.92,tumor,breast_tnbc
SLC23A2,1.638,0.000942,1501.41,tumor,breast_tnbc
GSTM4,0.439,0.05554,1187.25,tumor,breast_tnbc
PAPPA2,1.165,0.00852,583.4,tumor,breast_tnbc
KCNA7,0.329,0.01693,798.96,tumor,breast_tnbc
RAB1A,1.681,0.000969,2611.15,tumor,breast_tnbc
NTNG1,1.231,0.009986,555.85,tumor,breast_tnbc
RPL37,1.431,0.007599,2940.84,tumor,breast_tnbc
GMPS,1.55,0.000638,3129.77,tumor,breast_tnbc
GATA3,1.334,0.002892,965.93,tumor,breast_tnbc
ESRRG,0.361,0.032577,3703.84,tumor,breast_tnbc
FKBP1A,1.618,0.00097,4220.97,tumor,breast_tnbc
SLC1A5,1.767,8.6e-05,756.11,tumor,breast_tnbc
CYB5R3,1.249,0.008308,2995.5,tumor,breast_tnbc
HCRTR2,0.7,0.088891,687.18,tumor,breast_tnbc
MTR,1.125,0.008179,4559.69,tumor,breast_tnbc
PARP14,0.821,0.059336,1787.98,tumor,breast_tnbc
FGG,1.573,0.000689,809.73,tumor,breast_tnbc
EPHA6,0.624,0.020163,872.41,tumor,breast_tnbc
ASPH,1.663,0.00011,297.32,tumor,breast_tnbc
MC2R,0.482,0.028062,2075.22,tumor,breast_tnbc
XIRP2,1.39,0.005942,2357.6,tumor,breast_tnbc
DPYS,1.505,0.000276,4508.94,tumor,breast_tnbc
HNMT,1.667,0.000244,227.61,tumor,breast_tnbc
UGT1A8,0.895,0.028167,1180.52,tumor,breast_tnbc
CD40LG,1.765,0.000569,1705.5,tumor,breast_tnbc
SIGMAR1,0.433,0.047332,2697.06,tumor,breast_tnbc
CBS,0.509,0.042213,997.25,tumor,breast_tnbc
GLS2,1.69,0.000157,4035.71,tumor,breast_tnbc
TSPEAR,1.767,0.000534,4820.68,tumor,breast_tnbc
IRF6,1.005,0.002222,2595.64,tumor,breast_tnbc
GJD3,0.589,0.060017,4136.31,tumor,breast_tnbc
MED4,0.292,0.016575,1854.27,tumor,breast_tnbc
ABO,1.677,0.000765,4082.7,tumor,breast_tnbc
SREBF2,1.214,0.005757,4817.42,tumor,breast_tnbc
UGT1A10,1.64,0.000239,4471.53,tumor,breast_tnbc
HBB,0.93,0.023134,191.78,tumor,breast_tnbc
LATS2,1.688,0.000447,2452.63,tumor,breast_tnbc
TUBB8,0.495,0.091706,3986.87,tumor,breast_tnbc
MGP,1.752,0.000133,4996.03,tumor,breast_tnbc
F5,1.696,0.000725,1592.07,tumor,breast_tnbc
HTR1B,0.816,0.030817,2938.64,tumor,breast_tnbc
UBE2I,1.698,0.000975,1187.11,tumor,breast_tnbc
G6PD,1.617,0.00082,1992.46,tumor,breast_tnbc
PGGT1B,1.354,0.009462,1019.06,tumor,breast_tnbc
FLI1,1.171,0.009557,4522.97,tumor,breast_tnbc
CHRNA4,1.359,0.007026,3658.67,tumor,breast_tnbc
AMD1,1.442,0.001242,2259.37,tumor,breast_tnbc
PRODH,0.303,0.062051,1731.61,tumor,breast_tnbc
ODC1,1.517,0.000268,3183.38,tumor,breast_tnbc
TRHR,0.581,0.025682,703.79,tumor,breast_tnbc
SMYD2,1.709,0.000873,2260.98,tumor,breast_tnbc
MICB,1.672,0.000274,144.02,tumor,breast_tnbc
CA5A,1.8,0.000647,662.83,tumor,breast_tnbc
SCN1A,1.507,8.4e-05,4337.0,tumor,breast_tnbc
ASIC2,1.788,0.000297,3926.41,tumor,breast_tnbc
PANX3,0.639,0.097886,3434.97,tumor,breast_tnbc
RPS6KA2,1.731,0.000545,3064.79,tumor,breast_tnbc
GRIK3,1.67,0.000174,2272.05,tumor,breast_tnbc
WNT5B,1.033,0.009699,1515.78,tumor,breast_tnbc
PLK1,1.661,0.000179,3087.77,tumor,breast_tnbc
PCK1,0.626,0.020038,1475.58,tumor,breast_tnbc
MRGPRX1,1.65,0.000328,1281.23,tumor,breast_tnbc
SMURF2,0.543,0.052198,2483.25,tumor,breast_tnbc
ALDH1L1,0.681,0.02779,4808.47,tumor,breast_tnbc
UCN2,0.596,0.065258,2957.15,tumor,breast_tnbc
FFAR4,1.386,0.009883,1558.47,tumor,breast_tnbc
GSTM3,1.68,0.000781,901.7,tumor,breast_tnbc
ADCY5,1.738,0.000144,1282.01,tumor,breast_tnbc
ABCC6,0.635,0.091276,4616.04,tumor,breast_tnbc
EGLN2,0.715,0.076893,3164.82,tumor,breast_tnbc
ASTN2,0.583,0.096551,3900.17,tumor,breast_tnbc
TNK1,1.459,0.006258,319.29,tumor,breast_tnbc
GLRA3,1.342,0.005155,2569.84,tumor,breast_tnbc
HBEGF,0.783,0.056808,1406.58,tumor,breast_tnbc
GNG3,0.357,0.025396,427.19,tumor,breast_tnbc
SULT1A2,1.687,0.000573,1327.31,tumor,breast_tnbc
PTGFR,1.042,0.002486,2662.04,tumor,breast_tnbc
PSEN1,1.631,0.000948,1236.21,tumor,breast_tnbc
PRC1,1.386,0.002982,3083.52,tumor,breast_tnbc
ESD,0.297,0.021974,3842.43,tumor,breast_tnbc
MGAT4A,0.658,0.030159,4656.34,tumor,breast_tnbc
RGS5,0.939,0.07544,4037.98,tumor,breast_tnbc
GATA4,1.033,0.001689,1542.15,tumor,breast_tnbc
RAPGEF4,0.598,0.054275,1488.15,tumor,breast_tnbc
RALBP1,1.324,0.00855,3255.26,tumor,breast_tnbc
EXO1,1.214,0.001379,2851.63,tumor,breast_tnbc
PPP1R18,1.511,0.000193,4393.4,tumor,breast_tnbc
SLC7A9,1.711,0.000267,3060.63,tumor,breast_tnbc
TAAR6,1.426,0.001873,1652.85,tumor,breast_tnbc
MICA,0.679,0.098146,1314.15,tumor,breast_tnbc
PSMD14,1.404,0.005248,2923.7,tumor,breast_tnbc
MAPK6,1.497,0.009415,1150.3,tumor,breast_tnbc
PDGFB,1.059,0.007964,2316.49,tumor,breast_tnbc
SLK,1.607,0.000916,2952.48,tumor,breast_tnbc
CKMT2,0.984,0.056639,2637.07,tumor,breast_tnbc
REG1A,1.14,0.006731,362.03,tumor,breast_tnbc
MAP3K9,1.692,0.00071,4120.48,tumor,breast_tnbc
SQLE,0.999,0.026218,1670.29,tumor,breast_tnbc
RGS4,0.801,0.087618,857.33,tumor,breast_tnbc
AZIN2,0.341,0.024082,1342.76,tumor,breast_tnbc
DPP7,1.668,0.000701,543.22,tumor,breast_tnbc
CA4,0.76,0.034348,3733.05,tumor,breast_tnbc
KANSL1,0.493,0.030613,1800.13,tumor,breast_tnbc
CYSLTR1,1.341,0.009468,2710.94,tumor,breast_tnbc
IL23R,1.676,0.000503,964.82,tumor,breast_tnbc
KCNC1,1.395,0.002832,2840.76,tumor,breast_tnbc
RABGAP1L,1.609,0.000258,138.5,tumor,breast_tnbc
PCSK9,1.059,0.002679,972.1,tumor,breast_tnbc
ENPP1,0.601,0.095529,3606.01,tumor,breast_tnbc
CYP4F3,1.126,0.002557,3922.05,tumor,breast_tnbc
KDM4B,0.866,0.086389,3926.52,tumor,breast_tnbc
LIF,1.539,0.000395,3222.71,tumor,breast_tnbc
CDH23,0.929,0.077245,3667.58,tumor,breast_tnbc
GRK4,1.576,0.000393,3236.9,tumor,breast_tnbc
GPBAR1,1.555,0.000931,4752.75,tumor,breast_tnbc
PSMB9,1.325,0.008958,686.53,tumor,breast_tnbc
HES6,1.169,0.00398,2330.82,tumor,breast_tnbc
CHRNA1,0.838,0.016387,1421.25,tumor,breast_tnbc
SCN4B,1.358,0.003121,4213.37,tumor,breast_tnbc
IRF7,1.514,0.00011,2524.9,tumor,breast_tnbc
ZEB1,1.255,0.002045,2060.97,tumor,breast_tnbc
SLC39A10,1.368,0.005133,4539.51,tumor,breast_tnbc
