symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
GNAI1,0.1,0.069141,2874.38,tumor,pancreatic_pdac
ERLIN2,0.091,0.056649,3075.24,tumor,pancreatic_pdac
RAD50,0.058,0.038863,4119.12,tumor,pancreatic_pdac
STK24,1.137,0.005795,3302.3,tumor,pancreatic_pdac
RAD1,0.228,0.010897,2695.63,tumor,pancreatic_pdac
COP1,-1.427,0.004915,1686.39,tumor,pancreatic_pdac
SUPT16H,0.522,0.056742,449.38,tumor,pancreatic_pdac
CBX4,-0.521,0.077996,4745.02,tumor,pancreatic_pdac
FAM20A,-0.819,0.095541,4769.93,tumor,pancreatic_pdac
SP1,-1.208,0.003302,2988.01,tumor,pancreatic_pdac
FBXW7,0.275,0.047828,179.34,tumor,pancreatic_pdac
SCMH1,-0.949,0.048165,3356.4,tumor,pancreatic_pdac
OTUB2,0.566,0.098209,2106.03,tumor,pancreatic_pdac
HDAC1,-0.431,0.094508,4751.43,tumor,pancreatic_pdac
POLR2A,-0.08,0.046291,2051.58,tumor,pancreatic_pdac
MRAS,0.366,0.036135,3789.52,tumor,pancreatic_pdac
DUSP9,0.263,0.083949,4837.57,tumor,pancreatic_pdac
MDM4,-0.533,0.062886,787.0,tumor,pancreatic_pdac
ASCC2,-0.47,0.061497,3810.19,tumor,pancreatic_pdac
XPC,0.851,0.064497,448.37,tumor,pancreatic_pdac
TCF7,-0.404,0.081053,2175.83,tumor,pancreatic_pdac
SMUG1,-0.146,0.099721,4393.07,tumor,pancreatic_pdac
GNG5,0.275,0.091827,2484.25,tumor,pancreatic_pdac
TPM3,-0.34,0.094489,4871.79,tumor,pancreatic_pdac
NSMCE3,-0.08,0.08157,4529.05,tumor,pancreatic_pdac
FNTA,-0.15,0.038221,2326.07,tumor,pancreatic_pdac
H1-3,-0.165,0.059692,1731.34,tumor,pancreatic_pdac
BABAM2,-0.163,0.058427,3923.77,tumor,pancreatic_pdac
STAT5A,1.337,0.006329,530.31,tumor,pancreatic_pdac
DBNL,-0.204,0.066336,3271.35,tumor,pancreatic_pdac
FOS,-0.552,0.053817,586.37,tumor,pancreatic_pdac
UBB,1.976,0.000173,3428.64,tumor,pancreatic_pdac
APP,0.88,0.041179,4383.98,tumor,pancreatic_pdac
DNAJC3,0.289,0.020022,4585.75,tumor,pancreatic_pdac
FGF8,0.333,0.017227,2369.94,tumor,pancreatic_pdac
ZC3HC1,1.195,0.003211,3663.69,tumor,pancreatic_pdac
CNKSR2,0.636,0.014263,4121.08,tumor,pancreatic_pdac
SMAD3,-0.105,0.057207,4118.66,tumor,pancreatic_pdac
UNC5B,1.251,0.006297,2688.61,tumor,pancreatic_pdac
PSMD11,0.094,0.036228,3399.76,tumor,pancreatic_pdac
JUNB,-0.458,0.088152,469.4,tumor,pancreatic_pdac
SEMA4D,-0.699,0.027047,647.0,tumor,pancreatic_pdac
CHM,-0.358,0.044827,4909.78,tumor,pancreatic_pdac
NCAM1,0.165,0.055282,3276.92,tumor,pancreatic_pdac
GTF2F2,0.163,0.018043,261.2,tumor,pancreatic_pdac
DBF4,-0.884,0.043242,4417.99,tumor,pancreatic_pdac
DCLRE1B,0.911,0.015262,3745.03,tumor,pancreatic_pdac
MSRB2,-0.589,0.086232,4208.84,tumor,pancreatic_pdac
HMGB2,-0.834,0.042547,1908.75,tumor,pancreatic_pdac
F2,-0.214,0.033792,2820.85,tumor,pancreatic_pdac
MAG,0.16,0.098735,4879.72,tumor,pancreatic_pdac
CGB5,1.116,0.006633,1499.48,tumor,pancreatic_pdac
EXO1,-0.718,0.073536,1036.28,tumor,pancreatic_pdac
CP,0.751,0.049554,2529.91,tumor,pancreatic_pdac
VWA1,0.318,0.063343,3260.1,tumor,pancreatic_pdac
NGF,0.327,0.021778,2585.08,tumor,pancreatic_pdac
TMED7-TICAM2,0.463,0.030644,212.78,tumor,pancreatic_pdac
EME2,0.899,0.014299,110.69,tumor,pancreatic_pdac
H2BC17,1.193,0.00445,1376.43,tumor,pancreatic_pdac
UVSSA,1.89,0.000725,3271.04,tumor,pancreatic_pdac
PHF20,0.581,0.037754,2257.22,tumor,pancreatic_pdac
PAPPA,0.087,0.091792,294.84,tumor,pancreatic_pdac
CDT1,-0.46,0.044657,2395.7,tumor,pancreatic_pdac
NUP50,-1.053,0.009621,2433.57,tumor,pancreatic_pdac
SIN3A,0.041,0.086399,3030.38,tumor,pancreatic_pdac
POT1,0.324,0.026331,4360.19,tumor,pancreatic_pdac
PIK3R2,-0.673,0.097484,3515.42,tumor,pancreatic_pdac
COMMD3-BMI1,0.094,0.01199,130.85,tumor,pancreatic_pdac
DAPK2,0.198,0.074505,433.02,tumor,pancreatic_pdac
PIK3CD,-1.286,0.006499,217.72,tumor,pancreatic_pdac
NFKBIA,0.091,0.0677,2970.14,tumor,pancreatic_pdac
SUPT4H1,0.05,0.073552,1243.25,tumor,pancreatic_pdac
MIA3,0.156,0.012844,1111.74,tumor,pancreatic_pdac
MAD2L2,-0.248,0.043429,1564.3,tumor,pancreatic_pdac
WFS1,-0.941,0.061982,2901.6,tumor,pancreatic_pdac
NRG1,-0.311,0.07167,3447.34,tumor,pancreatic_pdac
EPHA6,-0.29,0.06141,677.41,tumor,pancreatic_pdac
POLA1,0.178,0.024404,3293.05,tumor,pancreatic_pdac
POLE4,0.396,0.068083,440.32,tumor,pancreatic_pdac
COL4A5,0.228,0.052956,2811.11,tumor,pancreatic_pdac
SP100,-0.209,0.085204,4333.8,tumor,pancreatic_pdac
GAB1,0.099,0.040215,2315.82,tumor,pancreatic_pdac
MAVS,-0.413,0.038843,618.99,tumor,pancreatic_pdac
CUX1,-0.692,0.062628,3980.52,tumor,pancreatic_pdac
SFPQ,-1.49,0.004835,2147.33,tumor,pancreatic_pdac
REV1,0.468,0.031193,1928.75,tumor,pancreatic_pdac
EP300,-0.48,0.04581,4181.44,tumor,pancreatic_pdac
ENAM,0.003,0.09109,4663.83,tumor,pancreatic_pdac
ETV6,-0.404,0.064626,4323.04,tumor,pancreatic_pdac
FEN1,1.226,0.008387,4480.72,tumor,pancreatic_pdac
ANAPC16,-0.186,0.036635,2501.79,tumor,pancreatic_pdac
TFAP2A,0.652,0.033492,1963.23,tumor,pancreatic_pdac
PARP2,0.822,0.041892,4970.14,tumor,pancreatic_pdac
UBA52,1.366,0.005044,955.79,tumor,pancreatic_pdac
COL5A1,0.563,0.057684,3279.69,tumor,pancreatic_pdac
PSEN1,0.447,0.081089,2019.47,tumor,pancreatic_pdac
TFPT,0.048,0.068487,3967.82,tumor,pancreatic_pdac
PSENEN,-0.056,0.073326,180.69,tumor,pancreatic_pdac
MUS81,-0.241,0.071532,2260.75,tumor,pancreatic_pdac
BMPR1B,0.954,0.035911,245.3,tumor,pancreatic_pdac
OXCT2,0.396,0.07391,263.97,tumor,pancreatic_pdac
LIG3,0.606,0.041692,3517.86,tumor,pancreatic_pdac
GNRHR2,0.93,0.025219,2088.79,tumor,pancreatic_pdac
FRK,1.068,0.007465,2949.25,tumor,pancreatic_pdac
TRPC5,0.63,0.024182,2625.1,tumor,pancreatic_pdac
ITGA5,0.858,0.061845,1509.51,tumor,pancreatic_pdac
CREBBP,1.558,0.000133,3501.3,tumor,pancreatic_pdac
TK2,0.318,0.094143,965.66,tumor,pancreatic_pdac
GNL3,0.441,0.014221,326.7,tumor,pancreatic_pdac
CASP1,0.544,0.029005,3160.55,tumor,pancreatic_pdac
UCN3,0.934,0.065315,4620.81,tumor,pancreatic_pdac
UGCG,1.154,0.005821,585.38,tumor,pancreatic_pdac
CDK7,1.326,0.006745,1804.48,tumor,pancreatic_pdac
KCNA5,0.337,0.063097,339.76,tumor,pancreatic_pdac
FCER2,1.772,0.00076,4709.46,tumor,pancreatic_pdac
SPG7,0.498,0.064831,865.5,tumor,pancreatic_pdac
ARMS2,0.271,0.093059,387.49,tumor,pancreatic_pdac
DSCAM,0.552,0.02365,4718.32,tumor,pancreatic_pdac
PLD2,0.405,0.043988,627.4,tumor,pancreatic_pdac
IRF7,0.366,0.020897,2444.7,tumor,pancreatic_pdac
MDM4,1.419,0.001025,1351.75,tumor,pancreatic_pdac
TCF19,0.788,0.096747,526.63,tumor,pancreatic_pdac
NEK11,1.48,0.005842,2305.43,tumor,pancreatic_pdac
CAPN10,0.599,0.034082,661.5,tumor,pancreatic_pdac
PPP3CB,0.496,0.046771,1328.4,tumor,pancreatic_pdac
ANO3,1.199,0.006135,4412.96,tumor,pancreatic_pdac
TXK,1.447,0.007265,2058.45,tumor,pancreatic_pdac
SCN8A,1.23,0.006343,4520.08,tumor,pancreatic_pdac
MLYCD,1.323,0.007874,2540.34,tumor,pancreatic_pdac
SLC22A4,1.622,0.000315,4106.08,tumor,pancreatic_pdac
ORM2,1.801,0.000752,3138.65,tumor,pancreatic_pdac
KCNJ8,1.763,0.000403,1329.6,tumor,pancreatic_pdac
GUCY1B2,1.642,0.000746,2649.06,tumor,pancreatic_pdac
NDUFS1,1.726,0.000746,997.33,tumor,pancreatic_pdac
LECT2,1.174,0.00935,2391.39,tumor,pancreatic_pdac
SPHK1,0.301,0.01578,3735.87,tumor,pancreatic_pdac
SULT1A3,0.59,0.058666,2542.11,tumor,pancreatic_pdac
IL21R,0.859,0.026242,1271.05,tumor,pancreatic_pdac
COX5B,1.3,0.0016,1545.64,tumor,pancreatic_pdac
VKORC1L1,1.114,0.006047,2921.51,tumor,pancreatic_pdac
ARHGAP28,1.759,0.000907,3507.53,tumor,pancreatic_pdac
ESR2,1.386,0.002638,3675.23,tumor,pancreatic_pdac
SMARCA4,0.653,0.04836,4131.92,tumor,pancreatic_pdac
SLC16A5,0.754,0.013885,4753.68,tumor,pancreatic_pdac
USP9X,1.758,0.000499,523.98,tumor,pancreatic_pdac
SLC9A3,1.68,0.000505,170.23,tumor,pancreatic_pdac
FKBP1A,0.504,0.043046,508.65,tumor,pancreatic_pdac
CHIC2,1.205,0.009999,2648.75,tumor,pancreatic_pdac
TGFBR1,0.569,0.082509,2418.73,tumor,pancreatic_pdac
PLA2G2E,1.178,0.003057,4748.82,tumor,pancreatic_pdac
SELL,1.728,0.000762,3799.78,tumor,pancreatic_pdac
STK17B,1.191,0.009101,3244.44,tumor,pancreatic_pdac
PNKP,1.162,0.008585,2300.4,tumor,pancreatic_pdac
CCNA2,1.517,0.00029,3157.47,tumor,pancreatic_pdac
SLC22A8,1.701,0.000742,2092.28,tumor,pancreatic_pdac
ENPP1,1.572,0.000117,4163.07,tumor,pancreatic_pdac
RORA,1.686,0.000226,2801.56,tumor,pancreatic_pdac
IL2RA,1.253,0.006664,1538.3,tumor,pancreatic_pdac
MAP3K11,0.975,0.027615,2530.61,tumor,pancreatic_pdac
KCNA10,0.614,0.076092,4177.09,tumor,pancreatic_pdac
TREML4,1.755,0.000903,3541.27,tumor,pancreatic_pdac
INCENP,1.731,8.8e-05,1249.55,tumor,pancreatic_pdac
KCNK1,1.717,0.00092,859.78,tumor,pancreatic_pdac
CRY2,1.074,0.005949,3614.76,tumor,pancreatic_pdac
NDUFS5,0.654,0.087714,1406.98,tumor,pancreatic_pdac
GJA4,1.361,0.009735,1926.18,tumor,pancreatic_pdac
RPS2,1.139,0.008737,1061.25,tumor,pancreatic_pdac
SLC10A2,0.282,0.037117,4542.1,tumor,pancreatic_pdac
WNT5A,0.84,0.031557,3594.87,tumor,pancreatic_pdac
PPIC,0.676,0.089594,1940.27,tumor,pancreatic_pdac
CDK4,0.48,0.01362,2976.12,tumor,pancreatic_pdac
CXXC4,1.579,0.000752,4100.33,tumor,pancreatic_pdac
TBX21,1.58,0.000507,2354.96,tumor,pancreatic_pdac
GNG5,0.721,0.055413,3004.55,tumor,pancreatic_pdac
GCLM,1.06,0.005954,2290.04,tumor,pancreatic_pdac
CCR2,0.591,0.018604,4641.84,tumor,pancreatic_pdac
TUBD1,0.445,0.018612,404.57,tumor,pancreatic_pdac
HLA-C,1.582,0.000552,4898.85,tumor,pancreatic_pdac
S1PR5,0.898,0.044737,3892.15,tumor,pancreatic_pdac
TBC1D32,1.407,0.002777,781.28,tumor,pancreatic_pdac
SLC6A11,1.788,0.000942,248.25,tumor,pancreatic_pdac
FSTL5,0.372,0.040805,2463.9,tumor,pancreatic_pdac
SLC15A1,0.768,0.039547,3134.33,tumor,pancreatic_pdac
ABCG8,1.299,0.001409,4524.17,tumor,pancreatic_pdac
ATF7,1.478,0.003141,3550.13,tumor,pancreatic_pdac
HLA-DQA1,0.43,0.09075,2741.72,tumor,pancreatic_pdac
KCNQ2,0.574,0.0827,3822.21,tumor,pancreatic_pdac
CYP2E1,1.059,0.007081,918.74,tumor,pancreatic_pdac
GSS,1.637,0.000787,2593.15,tumor,pancreatic_pdac
SSTR5,0.875,0.037835,3060.58,tumor,pancreatic_pdac
PRKCH,1.363,0.001881,1252.68,tumor,pancreatic_pdac
CDK5,1.781,0.000889,3155.74,tumor,pancreatic_pdac
KCNN4,0.664,0.087519,1839.41,tumor,pancreatic_pdac
SGK2,1.089,0.002186,135.24,tumor,pancreatic_pdac
TRAF3IP2,0.835,0.056428,1666.83,tumor,pancreatic_pdac
SLC2A1,1.784,0.00097,3347.52,tumor,pancreatic_pdac
IL9,0.824,0.086392,1770.51,tumor,pancreatic_pdac
RARB,1.106,0.002859,3504.03,tumor,pancreatic_pdac
KCNN1,0.364,0.091643,2920.69,tumor,pancreatic_pdac
CYP17A1,1.456,0.003552,956.3,tumor,pancreatic_pdac
CALM1,1.797,0.000132,1083.9,tumor,pancreatic_pdac
ZACN,1.729,0.000592,549.87,tumor,pancreatic_pdac
XRCC5,1.172,0.007134,1312.39,tumor,pancreatic_pdac
ADH1B,0.625,0.015701,3168.53,tumor,pancreatic_pdac
ABO,0.528,0.054434,2798.11,tumor,pancreatic_pdac
DRD1,1.706,0.000191,2558.24,tumor,pancreatic_pdac
S1PR4,1.356,0.004568,3271.88,tumor,pancreatic_pdac
PDE6G,1.678,4.9e-05,3237.75,tumor,pancreatic_pdac
NECTIN4,0.8,0.044868,1548.15,tumor,pancreatic_pdac
BARD1,1.455,0.008784,246.24,tumor,pancreatic_pdac
ENPP2,0.341,0.063522,727.59,tumor,pancreatic_pdac
UGDH,1.549,0.000939,2518.22,tumor,pancreatic_pdac
STX3,0.931,0.016055,564.3,tumor,pancreatic_pdac
HSPB1,0.624,0.039247,2861.5,tumor,pancreatic_pdac
SIK1,1.27,0.001139,4225.14,tumor,pancreatic_pdac
RPL3,0.989,0.073824,3363.49,tumor,pancreatic_pdac
TRBC1,1.774,0.000905,861.61,tumor,pancreatic_pdac
UPB1,1.8,3.9e-05,3057.16,tumor,pancreatic_pdac
GABRB2,1.292,0.003493,4221.02,tumor,pancreatic_pdac
GNAQ,0.776,0.069284,1507.72,tumor,pancreatic_pdac
SLC2A4,1.079,0.007476,4892.11,tumor,pancreatic_pdac
PDE1A,0.403,0.075532,3000.13,tumor,pancreatic_pdac
NDUFV1,1.715,0.000766,4375.39,tumor,pancreatic_pdac
TACR1,1.25,0.001278,327.97,tumor,pancreatic_pdac
STX11,0.775,0.032448,2603.12,tumor,pancreatic_pdac
PPP1CA,1.721,6.7e-05,4618.07,tumor,pancreatic_pdac
PLA2G7,0.979,0.0721,1272.17,tumor,pancreatic_pdac
EXO1,0.35,0.063499,2001.76,tumor,pancreatic_pdac
ZNF536,1.583,0.000651,1548.95,tumor,pancreatic_pdac
TUBB3,1.296,0.008466,1589.01,tumor,pancreatic_pdac
NDUFB10,1.725,0.000642,3769.13,tumor,pancreatic_pdac
CLCNKA,0.833,0.078325,1277.65,tumor,pancreatic_pdac
CARTPT,0.436,0.067911,125.14,tumor,pancreatic_pdac
WIF1,0.78,0.0684,1974.7,tumor,pancreatic_pdac
CRP,1.62,0.000656,3134.63,tumor,pancreatic_pdac
MAOA,1.717,9.2e-05,3712.68,tumor,pancreatic_pdac
SUMO4,0.777,0.019781,4017.49,tumor,pancreatic_pdac
DARS2,1.511,0.000548,3189.6,tumor,pancreatic_pdac
BHMT2,1.802,0.000718,4449.23,tumor,pancreatic_pdac
RRM2B,1.651,0.000449,2844.04,tumor,pancreatic_pdac
SRF,1.802,0.000836,3009.8,tumor,pancreatic_pdac
CCHCR1,1.493,0.005429,4503.84,tumor,pancreatic_pdac
SLC2A2,1.584,0.000892,3557.0,tumor,pancreatic_pdac
CLCN6,0.942,0.075834,146.19,tumor,pancreatic_pdac
TGFBR3,1.324,0.003068,3572.18,tumor,pancreatic_pdac
CSNK1G3,0.93,0.093635,3569.47,tumor,pancreatic_pdac
PTGDR2,0.407,0.056887,4278.66,tumor,pancreatic_pdac
CHRNA3,0.838,0.082148,4014.72,tumor,pancreatic_pdac
JUN,0.27,0.01336,3956.09,tumor,pancreatic_pdac
PSMB4,1.453,0.007943,2273.38,tumor,pancreatic_pdac
ITGA2,0.447,0.080552,640.5,tumor,pancreatic_pdac
GABRA5,0.301,0.09725,2816.75,tumor,pancreatic_pdac
NR1H3,0.493,0.057953,2821.04,tumor,pancreatic_pdac
TAT,1.496,0.009183,1836.88,tumor,pancreatic_pdac
GPR55,0.353,0.080419,399.07,tumor,pancreatic_pdac
EBP,0.872,0.061431,3846.86,tumor,pancreatic_pdac
UTS2R,1.11,0.008848,482.59,tumor,pancreatic_pdac
HMOX1,0.401,0.079757,4035.47,tumor,pancreatic_pdac
CPA1,0.723,0.013811,4348.06,tumor,pancreatic_pdac
