symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
MMP2,-0.637,0.059922,4762.46,tumor,comprehensive
RAD21,0.722,0.063375,409.86,tumor,comprehensive
NF1,1.258,0.00275,2312.02,tumor,comprehensive
YWHAE,-0.306,0.042829,1337.6,tumor,comprehensive
COL4A1,0.244,0.013489,3601.51,tumor,comprehensive
ITPR2,1.064,0.009956,680.38,tumor,comprehensive
SERPIND1,-0.624,0.084757,4207.21,tumor,comprehensive
BCL11A,0.149,0.050911,4149.88,tumor,comprehensive
H1-5,-0.06,0.07521,159.94,tumor,comprehensive
LAMB1,-0.068,0.028398,1027.43,tumor,comprehensive
SHISA5,-0.106,0.089925,1696.21,tumor,comprehensive
SKP1,0.072,0.077536,3227.87,tumor,comprehensive
CASP6,0.048,0.083406,1448.57,tumor,comprehensive
GCC2,0.717,0.090696,489.99,tumor,comprehensive
YWHAQ,-0.133,0.031838,2581.76,tumor,comprehensive
FANCE,1.565,0.000446,201.6,tumor,comprehensive
KNG1,-0.519,0.021164,1815.41,tumor,comprehensive
BAX,-0.855,0.092405,1920.08,tumor,comprehensive
MBTPS1,-0.375,0.029455,4796.21,tumor,comprehensive
ITGB3,-0.076,0.048555,1939.1,tumor,comprehensive
ITPR3,-0.51,0.026378,4047.17,tumor,comprehensive
H2BC13,0.332,0.017902,559.39,tumor,comprehensive
ANAPC10,1.385,0.001609,1801.63,tumor,comprehensive
COL6A5,0.323,0.061791,4414.87,tumor,comprehensive
NDC1,-0.415,0.037094,3953.8,tumor,comprehensive
APH1B,0.792,0.070044,4518.62,tumor,comprehensive
CDK5R1,0.453,0.019447,1788.81,tumor,comprehensive
KLK2,-0.176,0.092987,712.11,tumor,comprehensive
SRC,-0.18,0.015409,1503.33,tumor,comprehensive
PDGFRA,0.141,0.072096,331.64,tumor,comprehensive
PIAS3,-0.175,0.042655,1082.16,tumor,comprehensive
FGR,-0.886,0.061472,1871.26,tumor,comprehensive
POLR2C,0.18,0.079268,1437.22,tumor,comprehensive
PRNP,-1.089,0.008081,3267.74,tumor,comprehensive
FAM114A2,-1.482,0.006072,3783.16,tumor,comprehensive
MUTYH,0.139,0.038433,970.21,tumor,comprehensive
ANAPC2,1.417,0.009639,4692.37,tumor,comprehensive
H2AC20,0.377,0.076843,1378.5,tumor,comprehensive
E2F2,0.713,0.011736,948.45,tumor,comprehensive
PROC,-0.16,0.035768,3048.65,tumor,comprehensive
DNM1L,1.019,0.008032,4950.17,tumor,comprehensive
PAXIP1,0.877,0.019061,2058.92,tumor,comprehensive
CYSLTR2,-0.213,0.025805,3320.12,tumor,comprehensive
EPHA1,-0.916,0.081877,2183.18,tumor,comprehensive
INO80B,0.91,0.034541,2079.99,tumor,comprehensive
KIT,-0.274,0.052904,4224.45,tumor,comprehensive
POLR2F,-0.45,0.029729,3819.58,tumor,comprehensive
CHUK,-0.881,0.043849,3037.28,tumor,comprehensive
PTK2,-0.326,0.077636,4335.12,tumor,comprehensive
CDC37,-0.606,0.015224,4514.0,tumor,comprehensive
GNG2,0.476,0.066987,4710.71,tumor,comprehensive
ADAM10,0.61,0.080058,3818.63,tumor,comprehensive
SHOC2,-0.98,0.010096,3493.24,tumor,comprehensive
PTPRA,0.479,0.070161,460.82,tumor,comprehensive
COL9A1,0.427,0.092466,515.38,tumor,comprehensive
CCNA2,-0.924,0.024359,1299.2,tumor,comprehensive
H2AX,0.214,0.060087,1100.31,tumor,comprehensive
CDK5,-0.241,0.089278,3595.19,tumor,comprehensive
MITF,-0.498,0.011313,3407.78,tumor,comprehensive
SMAD4,-0.419,0.085761,2520.72,tumor,comprehensive
QSOX1,0.209,0.044992,1007.78,tumor,comprehensive
CDC27,0.487,0.059706,4295.12,tumor,comprehensive
RPS6KB2,-0.353,0.014385,3500.32,tumor,comprehensive
LRP5,-1.175,0.00759,3794.95,tumor,comprehensive
DAPK1,0.147,0.051235,1782.35,tumor,comprehensive
AURKB,-0.317,0.021569,4894.36,tumor,comprehensive
H1-2,0.397,0.027913,3048.36,tumor,comprehensive
MPRIP,-1.385,0.001476,2980.77,tumor,comprehensive
OMG,1.104,0.006362,2115.44,tumor,comprehensive
ZC3HAV1,0.639,0.075829,1582.48,tumor,comprehensive
GTF2H1,-0.171,0.073379,1139.87,tumor,comprehensive
RBBP7,0.258,0.043903,1868.46,tumor,comprehensive
FSTL1,0.318,0.012762,3708.51,tumor,comprehensive
PPIA,0.288,0.021997,4865.07,tumor,comprehensive
DYNLL1,-0.604,0.07203,3274.3,tumor,comprehensive
TXN,0.057,0.074411,2659.17,tumor,comprehensive
ROCK2,-0.529,0.010739,1347.44,tumor,comprehensive
VCAN,-0.223,0.054585,3727.44,tumor,comprehensive
DUSP9,1.308,0.004355,1672.32,tumor,comprehensive
APIP,-1.029,0.009276,1909.45,tumor,comprehensive
CDC23,1.149,0.006587,3821.95,tumor,comprehensive
SOCS3,-0.243,0.074604,3257.37,tumor,comprehensive
AGO1,0.315,0.081194,2857.96,tumor,comprehensive
FAS,-0.186,0.017873,2665.94,tumor,comprehensive
RUVBL1,1.116,0.00496,3314.96,tumor,comprehensive
PRL,0.391,0.086577,2853.71,tumor,comprehensive
RBPJ,-0.377,0.05832,2699.81,tumor,comprehensive
ERBIN,1.482,0.002059,4246.05,tumor,comprehensive
RHOG,1.19,0.009126,2621.92,tumor,comprehensive
AGO4,1.332,0.003119,456.57,tumor,comprehensive
RNF8,0.18,0.087328,2823.02,tumor,comprehensive
PIK3C3,0.46,0.09116,2983.95,tumor,comprehensive
DSG1,-0.531,0.019961,3670.81,tumor,comprehensive
UBB,-0.648,0.066438,3490.83,tumor,comprehensive
EGF,1.383,0.004767,1300.09,tumor,comprehensive
CSF1,1.222,0.009218,4979.81,tumor,comprehensive
ATRIP,0.652,0.044435,3173.15,tumor,comprehensive
TRIM25,1.046,0.006531,296.07,tumor,comprehensive
PSMB3,0.791,0.027457,713.23,tumor,comprehensive
FGF16,-1.214,0.002611,4588.31,tumor,comprehensive
JUNB,-0.911,0.078197,1644.87,tumor,comprehensive
QKI,0.055,0.079749,1346.68,tumor,comprehensive
FOXM1,-0.076,0.064635,4299.74,tumor,comprehensive
HGF,0.052,0.02658,3374.79,tumor,comprehensive
ERCC1,0.966,0.030934,4784.49,tumor,comprehensive
TFAP2A,-1.074,0.006851,594.58,tumor,comprehensive
FANCM,-1.385,0.002651,1638.53,tumor,comprehensive
NUP214,-0.96,0.093935,3876.29,tumor,comprehensive
NCBP1,-0.076,0.088545,2541.25,tumor,comprehensive
HDAC11,-0.9,0.095544,3035.64,tumor,comprehensive
YWHAB,-0.388,0.027714,4667.17,tumor,comprehensive
MDC1,0.361,0.04038,4056.23,tumor,comprehensive
AVEN,0.375,0.073062,1710.62,tumor,comprehensive
TOP1,-0.98,0.080318,1927.02,tumor,comprehensive
NRG1,-0.819,0.036042,1961.15,tumor,comprehensive
PSMA7,1.138,0.002254,2530.0,tumor,comprehensive
CRCP,0.451,0.075721,2861.87,tumor,comprehensive
TIPIN,-1.123,0.003849,1349.04,tumor,comprehensive
PPP2R5B,-0.963,0.060452,2390.23,tumor,comprehensive
UBC,0.514,0.099253,919.16,tumor,comprehensive
PDE3B,-0.504,0.017708,4054.81,tumor,comprehensive
NTRK3,-1.111,0.004601,1726.2,tumor,comprehensive
POLE3,-0.417,0.079194,2944.77,tumor,comprehensive
C4A,0.653,0.031255,152.91,tumor,comprehensive
DCLRE1B,0.727,0.067107,3099.27,tumor,comprehensive
PCBP4,0.836,0.091458,2291.62,tumor,comprehensive
RAD9A,-0.092,0.039031,2431.36,tumor,comprehensive
LIG3,-0.077,0.019123,4750.06,tumor,comprehensive
LIG4,0.321,0.016291,413.22,tumor,comprehensive
COMMD3-BMI1,-0.427,0.053297,3502.66,tumor,comprehensive
FGFR2,1.482,0.007222,3741.5,tumor,comprehensive
SOD2,-0.986,0.032942,2295.02,tumor,comprehensive
FZD5,0.091,0.030055,3769.78,tumor,comprehensive
NUP37,-0.764,0.075605,4550.01,tumor,comprehensive
RFC1,0.323,0.060827,823.53,tumor,comprehensive
RFC3,0.204,0.077954,3561.55,tumor,comprehensive
FGF5,-0.801,0.09664,4159.4,tumor,comprehensive
CALM3,0.689,0.040192,2301.3,tumor,comprehensive
STK24,0.363,0.061647,190.07,tumor,comprehensive
GH1,1.094,0.003823,742.59,tumor,comprehensive
GNGT2,-0.535,0.05569,805.39,tumor,comprehensive
BANF1,-0.474,0.038165,2682.68,tumor,comprehensive
CCNH,1.433,0.008852,3041.68,tumor,comprehensive
UNC5A,-0.713,0.052429,4001.17,tumor,comprehensive
DSG3,-0.086,0.085987,3880.89,tumor,comprehensive
AURKA,0.652,0.080784,482.24,tumor,comprehensive
TOP2A,1.051,0.007249,2120.59,tumor,comprehensive
MCL1,-0.409,0.051621,3904.4,tumor,comprehensive
PSMA4,-0.001,0.08834,2120.35,tumor,comprehensive
NKIRAS1,-0.427,0.089363,549.9,tumor,comprehensive
GAB1,-0.653,0.074894,3883.21,tumor,comprehensive
NELFE,0.183,0.025437,4798.27,tumor,comprehensive
RBBP4,-0.054,0.048111,246.87,tumor,comprehensive
CNTN2,0.185,0.052313,3098.87,tumor,comprehensive
OTUD7B,0.789,0.034789,4365.71,tumor,comprehensive
GINS1,0.416,0.069754,3408.94,tumor,comprehensive
CASP8,0.582,0.02239,4383.0,tumor,comprehensive
XPC,0.869,0.076081,4494.94,tumor,comprehensive
MGMT,0.269,0.021866,3936.47,tumor,comprehensive
TREX1,0.231,0.092613,2695.26,tumor,comprehensive
ADCY4,-0.927,0.084183,3245.33,tumor,comprehensive
ELOC,0.903,0.093566,3845.36,tumor,comprehensive
GNG10,0.59,0.041871,1034.68,tumor,comprehensive
IGFALS,0.476,0.037661,112.73,tumor,comprehensive
XIAP,1.037,0.008989,3537.74,tumor,comprehensive
MEPE,-0.826,0.055167,4707.99,tumor,comprehensive
TGFB1,0.475,0.054237,3170.65,tumor,comprehensive
DFFA,-1.198,0.006688,503.11,tumor,comprehensive
CDK8,0.354,0.079639,828.88,tumor,comprehensive
MFGE8,-0.317,0.086572,3241.1,tumor,comprehensive
TF,0.208,0.013649,4803.57,tumor,comprehensive
TBL1XR1,-0.1,0.063675,1337.72,tumor,comprehensive
MAPKAP1,-0.315,0.048917,4289.57,tumor,comprehensive
ZBP1,0.318,0.043717,1157.52,tumor,comprehensive
IL22,0.756,0.04609,4355.58,tumor,comprehensive
MXRA8,0.462,0.017837,3504.54,tumor,comprehensive
APOL1,0.829,0.035177,3440.87,tumor,comprehensive
NRG3,0.178,0.055554,1896.07,tumor,comprehensive
EFNA2,0.496,0.06273,1020.11,tumor,comprehensive
DLL1,0.424,0.085247,1199.34,tumor,comprehensive
CDCA8,0.58,0.057031,2239.95,tumor,comprehensive
H2BC8,0.271,0.057022,2129.85,tumor,comprehensive
PPP3CC,0.274,0.013575,163.15,tumor,comprehensive
H2BC17,0.81,0.011439,2759.98,tumor,comprehensive
USP43,0.599,0.04218,338.65,tumor,comprehensive
BIRC6,0.181,0.073173,4688.13,tumor,comprehensive
COL4A4,-0.678,0.096194,1501.15,tumor,comprehensive
DPEP2,0.882,0.090938,758.02,tumor,comprehensive
MYH9,0.149,0.018368,1610.78,tumor,comprehensive
PRR5,-0.847,0.025157,4589.43,tumor,comprehensive
STAG1,-0.068,0.079656,2538.01,tumor,comprehensive
SYK,-0.044,0.09247,1511.1,tumor,comprehensive
RBBP8,-0.077,0.090878,3440.59,tumor,comprehensive
DKK2,-1.329,0.002195,4938.56,tumor,comprehensive
GTF2H5,0.072,0.097937,638.74,tumor,comprehensive
VEGFA,0.416,0.036338,1169.2,tumor,comprehensive
RND1,0.14,0.087781,4755.15,tumor,comprehensive
ESR2,0.485,0.011164,2854.72,tumor,comprehensive
GGT1,1.217,0.006042,442.9,tumor,comprehensive
PDGFB,-0.012,0.075772,1699.56,tumor,comprehensive
EPHA5,0.606,0.024823,2064.04,tumor,comprehensive
IQGAP1,0.722,0.088677,4497.34,tumor,comprehensive
IGFBP3,-1.102,0.006644,1946.39,tumor,comprehensive
XPA,-0.766,0.067525,1278.26,tumor,comprehensive
BMF,1.222,0.008558,2732.22,tumor,comprehensive
PSMA2,0.434,0.069853,1661.74,tumor,comprehensive
CD3G,0.683,0.046096,2489.72,tumor,comprehensive
TGFA,0.004,0.03415,3081.63,tumor,comprehensive
CREBBP,0.73,0.059654,4097.23,tumor,comprehensive
MSRB3,-0.144,0.041281,3919.76,tumor,comprehensive
POLR2A,0.198,0.060449,739.68,tumor,comprehensive
CLCN6,1.12,0.006037,2039.49,tumor,comprehensive
CSNK1A1,-0.462,0.037688,4489.0,tumor,comprehensive
STAG2,-0.063,0.087838,362.09,tumor,comprehensive
NTF3,-0.196,0.053904,235.25,tumor,comprehensive
ROCK1,-1.0,0.096056,3422.68,tumor,comprehensive
ASCC2,0.138,0.070206,3365.53,tumor,comprehensive
INO80E,0.368,0.012471,216.6,tumor,comprehensive
FRS2,0.234,0.049507,3696.48,tumor,comprehensive
NUP62,0.924,0.040342,1958.25,tumor,comprehensive
CDK7,-0.639,0.042384,3388.71,tumor,comprehensive
RTEL1,0.176,0.073021,357.83,tumor,comprehensive
KSR1,1.377,0.007076,2763.41,tumor,comprehensive
FGF20,-0.697,0.048482,2107.57,tumor,comprehensive
UBA52,0.739,0.040185,2315.52,tumor,comprehensive
LAMC1,0.547,0.018314,2946.67,tumor,comprehensive
ARRB1,1.371,0.005746,907.35,tumor,comprehensive
SLX1A,-0.678,0.041144,1136.98,tumor,comprehensive
APEX1,-0.336,0.066099,2479.12,tumor,comprehensive
TCF7,-0.404,0.062119,2312.03,tumor,comprehensive
CTBP2,0.219,0.06179,881.16,tumor,comprehensive
FURIN,-0.894,0.040596,4426.49,tumor,comprehensive
REV1,-1.45,0.008002,1765.73,tumor,comprehensive
PRKCSH,0.031,0.05998,829.26,tumor,comprehensive
MAGED1,2.0,0.000437,566.43,tumor,comprehensive
SFN,-0.234,0.084009,543.65,tumor,comprehensive
WEE1,-0.478,0.061237,1768.77,tumor,comprehensive
BLM,0.96,0.016678,2778.47,tumor,comprehensive
RIPK2,-0.034,0.038452,4967.02,tumor,comprehensive
ARTN,-0.213,0.042462,3866.77,tumor,comprehensive
IGFBP7,0.241,0.035335,417.41,tumor,comprehensive
MSRA,-0.687,0.084073,4931.84,tumor,comprehensive
ERCC3,0.036,0.059146,4414.37,tumor,comprehensive
FGF2,0.512,0.09792,4067.08,tumor,comprehensive
H2BC9,0.756,0.046026,564.33,tumor,comprehensive
MAFK,0.484,0.076016,3108.83,tumor,comprehensive
PIK3R6,0.414,0.092022,2975.41,tumor,comprehensive
RELA,-1.336,0.003374,3170.32,tumor,comprehensive
BCL2L14,-0.963,0.024564,2632.49,tumor,comprehensive
CASP3,-0.13,0.018412,859.95,tumor,comprehensive
BMX,-0.61,0.061922,4648.46,tumor,comprehensive
GNG7,0.638,0.048245,668.89,tumor,comprehensive
MYL9,-0.229,0.049478,3521.12,tumor,comprehensive
SUPT5H,0.649,0.087163,2854.36,tumor,comprehensive
MAVS,0.69,0.057872,2437.41,tumor,comprehensive
SEC13,-0.373,0.034759,1353.58,tumor,comprehensive
CP,0.96,0.026997,2798.89,tumor,comprehensive
RAP1A,0.034,0.04655,166.46,tumor,comprehensive
PSMC5,0.014,0.083694,548.44,tumor,comprehensive
RAP1B,0.505,0.074037,3980.16,tumor,comprehensive
MOV10,-1.053,0.009599,3442.79,tumor,comprehensive
CHRDL1,-1.561,0.000203,797.58,tumor,comprehensive
POLR1C,0.202,0.033017,4615.62,tumor,comprehensive
H2BC26,-1.13,0.004664,2679.38,tumor,comprehensive
ACIN1,0.75,0.039436,574.51,tumor,comprehensive
DUSP6,0.236,0.071813,4990.35,tumor,comprehensive
NELFA,-1.224,0.002105,1534.73,tumor,comprehensive
FXR1,0.123,0.028539,2264.47,tumor,comprehensive
RMI2,-0.183,0.010758,3024.72,tumor,comprehensive
FKBP1A,-0.105,0.062287,2447.97,tumor,comprehensive
PSMC2,0.607,0.084086,4649.09,tumor,comprehensive
LIMK1,-0.377,0.092536,1276.91,tumor,comprehensive
GAS6,0.379,0.0342,1578.81,tumor,comprehensive
IGF2BP2,-0.824,0.013263,4636.19,tumor,comprehensive
MEN1,0.562,0.082919,357.17,tumor,comprehensive
TPM3,-0.708,0.070281,4656.15,tumor,comprehensive
CDC6,0.464,0.040366,1279.88,tumor,comprehensive
EID3,-0.189,0.098554,4432.39,tumor,comprehensive
MSH6,1.009,0.00855,1915.74,tumor,comprehensive
SEH1L,-1.561,0.000308,1783.36,tumor,comprehensive
APAF1,0.969,0.043742,4072.13,tumor,comprehensive
CDK4,-0.943,0.077572,1689.29,tumor,comprehensive
PPP2R5D,0.437,0.039298,820.11,tumor,comprehensive
RRBP1,-0.012,0.09549,3788.94,tumor,comprehensive
IL6,-1.438,0.006765,1301.03,tumor,comprehensive
BIRC7,-0.402,0.062603,4250.35,tumor,comprehensive
POLK,-0.204,0.094397,3461.67,tumor,comprehensive
SNW1,-0.336,0.058128,334.19,tumor,comprehensive
EYA3,0.416,0.074123,3053.08,tumor,comprehensive
MSH3,0.34,0.022665,1838.35,tumor,comprehensive
STAT3,0.181,0.024613,2473.97,tumor,comprehensive
NEURL1,0.292,0.035031,2051.38,tumor,comprehensive
PDIA6,0.711,0.013913,588.94,tumor,comprehensive
CENPS-CORT,-1.201,0.002351,498.83,tumor,comprehensive
AEBP2,0.374,0.095215,3914.09,tumor,comprehensive
FGF7,0.047,0.088196,4256.96,tumor,comprehensive
MAG,-0.628,0.052765,2172.05,tumor,comprehensive
RNF128,-0.059,0.096169,603.2,tumor,comprehensive
NCAN,-0.563,0.054405,4516.45,tumor,comprehensive
MSN,0.654,0.029068,884.62,tumor,comprehensive
TCF7L2,0.119,0.035969,3426.34,tumor,comprehensive
NTHL1,-1.184,0.004515,4527.38,tumor,comprehensive
TNIP1,-1.056,0.002197,4794.0,tumor,comprehensive
H2BC11,-0.071,0.074891,1648.45,tumor,comprehensive
CAPNS1,-0.759,0.051884,3393.39,tumor,comprehensive
PLK2,-0.106,0.023568,1603.77,tumor,comprehensive
FTO,-0.053,0.072972,2166.44,tumor,comprehensive
CD80,-0.228,0.061564,3632.43,tumor,comprehensive
CDKN1C,-0.894,0.070658,4126.32,tumor,comprehensive
GH2,0.592,0.017463,2728.65,tumor,comprehensive
CDK2,-0.448,0.013634,3614.97,tumor,comprehensive
GZMH,-0.347,0.063888,301.27,tumor,comprehensive
ZAP70,-0.257,0.059251,1154.15,tumor,comprehensive
CCNC,0.014,0.029827,3637.08,tumor,comprehensive
NR6A1,1.031,0.001402,4315.67,tumor,comprehensive
PML,-0.886,0.062634,1235.21,tumor,comprehensive
COL3A1,-0.175,0.072969,2721.28,tumor,comprehensive
PTPN11,-0.676,0.064296,4305.63,tumor,comprehensive
H3-4,0.539,0.028352,702.61,tumor,comprehensive
EZH2,-0.034,0.076771,4145.88,tumor,comprehensive
GTF2H3,0.81,0.06357,851.44,tumor,comprehensive
STRN,-1.026,0.001441,809.16,tumor,comprehensive
OTUD3,-0.608,0.068937,3525.9,tumor,comprehensive
CILP,-0.644,0.088362,3636.04,tumor,comprehensive
MTOR,0.077,0.027115,4774.41,tumor,comprehensive
H1-1,-1.336,0.004222,4160.93,tumor,comprehensive
MAML3,-1.561,0.000368,4593.71,tumor,comprehensive
GNB1,0.443,0.057019,4271.84,tumor,comprehensive
PSMD13,0.523,0.016475,3597.45,tumor,comprehensive
UBE2E1,-0.913,0.045622,1012.03,tumor,comprehensive
CST3,0.218,0.090259,4707.24,tumor,comprehensive
EIF2AK3,0.722,0.051405,145.25,tumor,comprehensive
TRAF3,-0.163,0.09251,828.82,tumor,comprehensive
CYSLTR1,0.302,0.04259,3975.9,tumor,comprehensive
